,year,month,rainy_days,total_rainfall,max_daily_rainfall,mean_rh,min_daily_temp,max_daily_temp,mean_sunshine_hrs,extr_max_temp,extr_min_temp
308,2007,9,13,149.0,52.1,83.3,25.0,31.0,5.8,32.6,23.0
309,2007,10,16,237.2,51.8,83.2,24.9,31.6,5.6,33.7,22.6
310,2007,11,21,367.9,60.1,86.5,24.0,30.8,3.5,33.5,22.1
311,2007,12,20,468.6,159.0,86.8,24.1,30.1,4.5,31.8,22.1
312,2008,1,19,262.6,123.1,86.0,24.3,30.7,6.1,33.5,22.9
313,2008,2,8,129.2,48.5,82.9,24.0,30.9,5.5,33.4,22.4
314,2008,3,16,294.1,48.1,87.1,24.0,30.1,4.3,32.7,21.8
315,2008,4,13,87.2,34.2,82.0,25.1,31.9,6.0,33.3,23.4
316,2008,5,11,124.9,42.3,79.1,26.0,32.2,6.6,34.1,22.1
317,2008,6,12,118.3,45.2,81.5,25.3,31.4,5.6,32.9,22.0
318,2008,7,15,89.1,23.5,81.3,25.1,30.8,4.9,32.7,22.7
319,2008,8,18,327.3,133.9,83.8,24.7,30.9,5.5,32.7,22.6
320,2008,9,18,164.4,43.5,82.7,24.6,31.1,5.1,32.9,22.1
321,2008,10,19,159.5,41.6,84.9,25.0,31.4,4.5,33.3,23.1
322,2008,11,16,324.3,63.3,85.9,24.5,31.2,4.0,33.0,22.5
323,2008,12,17,244.2,52.0,83.7,24.3,30.5,4.8,32.6,22.1
324,2009,1,5,38.3,36.0,79.1,24.2,30.7,6.6,32.6,23.2
325,2009,2,8,201.8,74.2,80.7,24.2,32.3,6.4,35.0,23.1
326,2009,3,19,223.3,56.3,85.4,24.1,31.4,5.5,33.2,22.3
327,2009,4,12,183.7,86.6,82.2,25.4,32.3,6.2,34.7,22.9
